id,type,sub_type,name,description,year,lat,long,evacuated,homeless,injuries,deaths,insured_cost,homes_damaged,homes_destroyed,regions,url,severity,cost_2011
256,Man made,Industrial,Stanford Merthyr Mine,"On 29 October 1905, a fire caused by spontaneous combustion began in the Stanford Merthyr Colliery. In an attempt to extinguish the fire six workers died.",1905,-32.82706070,151.48876950,,,,6,,,,NSW,http://www.emknowledge.gov.au/resource/?id=256,"$24,000,000.00",$0.00
22,Natural,Bushfire,Great Divide Complex,"Victoria experienced a very adverse fire season during 2006 - 2007. Lightning ignited a number of fires on 1 December 2006 and some later merged to form what is known as the 'Great Divide Complex' fires in eastern Victoria. The area burnt mostly public land and was estimated to be in the vicinity of 1.2 and 1.3 million hectares by the end of the season. On 7 February 2007, The Great Divide fires were finally contained after 69 days. There were also a number of other fires (Tawonga Gap burned 33,500 hectares and Tatong burned 33,000). Despite the severity of the fire season, housing and private asset losses were remarkably low. In total, 51 dwellings of which 21 were classified as primary residences were destroyed and hundreds of stock and farm fencing were lost in the fires. One man died in a vehicle accident while assisting a property owner to prepare for fire impact.  Thousands of community volunteers and career emergency service personnel across state, regional and community levels worked in partnership to ensure the fires were eventually brought under control. A further component to the response was the support and assistance from New Zealand, United States, Canadian and interstate colleagues.  By 7 February, more than 1400 firefighters had been injured in the fire fighting effort (including bruises, cuts, blisters, burns, dehydration, broken limbs and spider bites). More than 400 St John Ambulance volunteers, including doctors, nurses and first aid officers provided medical assistance. On 16 December, 11 New Zealand firefighters were injured while fighting the fire in the Howqua Valley in north-east Victoria.  On 16 January 2007 power lines were cut which severely disrupted Melbourne electricity supplies. On the same day, a fire threatened to close Tullamarine Airport. The Department of Sustainability and Environment (DSE) worked with Melbourne Water to keep the fires out of the water catchments.  A significant number of people were evacuated during the fires. Relief centres were established to accommodate evacuees. Some mountain tourist complexes were evacuated due to fires including Mount Buller and Thredbo Village in New South Wales, the latter due to a fire that started from a lightning strike at Hermit Mountain and crossed the border.  Victoria experienced widespread effects from the fires. Numerous schools in the high country and some parts of Gippsland were forced to close due to the fire threat and outside play at school was banned in some instances due to smoke haze. The smoke haze reportedly caused some respiratory symptoms and aggravated conditions such as asthma. Haze also ffected traffic and delayed flights in and out of Melbourne airport. On 20 December, the Environment Protection Authority recorded its worst bushfire smoke since records began, with visibility reduced to two km in Melbourne's central business district.  During the fire season, the Country Fire Authority, Department of Sustainability and Environment and Parks Victoria received operational assistance from other states and a significant international contingent:    ACT - 37 personnel  NSW - 1050 personnel  NT - 108 personnel  SA - 10 personnel  Qld - 14 personnel  WA - 20 personnel  Canada - 52 personnel  New Zealand - 115 personnel  USA - 114 personnel    The Victorian and Federal Government provided financial assistance to aid personal, physical and economic recovery from the fire disaster.  The Insurance Council of Australia did not report any cost for this particular fire.",2006,-36.71800995,147.14521790,,,1400,1,,,51,VIC,http://www.emknowledge.gov.au/resource/?id=22,"$704,000,000.00",$0.00
503,Natural,Cyclone,Cyclone Yasi,"Cyclone Yasi developed as a tropical low north-west of Fiji on 29 January 2011. On 30 January, it was named Yasi by the Fiji Meteorological Service. On 2 February, it was upgraded to a Category 5 system and made landfall near Mission Beach (138 km south of Cairns) between midnight and 1 am (AEST) early on Thursday 3 February. It weakened to a tropical low near Mount Isa around 10 pm on 3 February.  In response to warnings about the expected severity of the cyclone, and possible storm surges, approximately 10,000 northern Queenslanders living in low-lying areas evacuated to more than 100 official evacuation centres. Significant numbers were accommodated in unofficial evacuation centres established by communities and church groups. Thousands of people left the area and sought refuge with family and friends.  Flights out of the region were fully booked. The entire hospital population, more than 300 patients, were evacuated to other regional hospitals and Brisbane by the the Australian Defence Force, Royal Flying Doctor Service and other methods.  This was an unprecedented evacuation effort.  The eye of the cyclone passed over Dunk Island and Mission Beach between Innisfail and Townsville bringing significant winds, the highest estimated at 285 km per hour. Considerable damage occurred to the towns of Tully, Cardwell, Tully Heads, Innisfail, Ingham, Mission Beach, El Arish, Silkwood and Silky Oak and localities, however, the cyclone&rsquo;s worst impact missed the major centres of Townsville and Cairns. Overall, approximately 1000 people reported significant damage to their homes. Other impacts include power loss to more than 200,000 properties, cars were found metres away from where they were left and boats were piled on top of each other in some regions.  Rainfall totals for the 24 hour period to 9 am Thursday 3 February were 200-300 mm in the area between Cairns and Ayr, causing some flooding. A 5 m tidal surge was observed at the storm tide gauge at Cardwell. Other sea inundation occurred between the beaches north of Cairns and Alva Beach, and there was some inundation in parts of the city of Townsville.  The Australian Bureau of Agriculture and Resource Economics and Sciences estimated the cyclone caused a $300 million hit to agriculture, particularly affecting banana and sugarcane crops.  The Federal Government processed over $250 million worth of recovery grants in the first three weeks after the storm through Centrelink. Financial help was also available in the form of concessional loans for cyclone hit farmers up to $650,000.  There was one recorded death.  The Insurance Council of Australia estimated the preliminary 2011 damage at $1412 million.",2011,-17.85067558,146.10992430,,,,1,"$1,412,000,000.00",1000,,QLD,http://www.emknowledge.gov.au/resource/?id=503,"$1,416,000,000.00",$0.00
612,Natural,Flood,New South Wales - 2012,"The combination of a high pressure system over the southern Tasman Sea and a trough over Queensland directed moist east to north-easterly winds across New South Wales. This generated patchy rain areas and isolated thunderstorms and heavy rain over the north of the state.  Minor to major flood warnings were issued for communities on the Mid North, Coffs Harbour and North Coast of New South Wales. There were reports of 300 mm falling in the space of three days in areas of the Bellinger River Valley and the Orara River catchment.  More than 2000 people were isolated by the rising floodwaters, with a number of road closures such as at the Pacific Highway and a caravan park in a low lying area evacuated.  From the 24 - 25 January New South Wales received almost 340 mm of rain. Overnight on the 24 January, the Tweed Valley saw heavy falls with 86 mm of rain at Couchy Creek, 100 mm at Numinbah and 100 mm at Bald Mountain.  Residents were isolated in the towns of Darkwood, near Coffs Harbour, the Thora and Kalang Valleys, and in Bellingen, on the Mid North Coast, where the flooded Bellinger River cut the town in two. More than a dozen homes and businesses in Bellingen were inundated. The Bellinger River at the Bellingen Bridge peaked at around 7 m, short of the 8.2 m that constitutes major flooding.  A landslide and waterfalls blocked the Waterfall Way between Dorrigo and Bellingen. Bellingen received 180 mm of rain in the 24 hours to 9 am on 27 January.  During this time the State Emergency Services received more than 1000 calls for assistance and over 50 flood rescues occurred.  By the beginning of February more than 16,500 people across the state were isolated, with the worst areas being Gunnedah and Wee Waa. Twenty-seven aircraft worked to supply those areas isolated.  On 5 February the Namoi River peaked at over 8 m in Gunnedah and the Mehi River near Moree reached more than 10.6 m, similar to the height reached in 1976 floods. Approximately 300 homes in Moree were inundated, and 1600 people were evacuated.  The concern became from floodwaters from Queensland moving downstream to northern areas of New South Wales such as Mungindi, Walgett, Bourke, Collarenebri and Brewarrina.  On 9 February, heavy rains caused flash flooding across western Sydney and the Illawarra, with the SES receiving approximately 450 calls for assistance.  On 20 February a similar event occurred with flash flooding across Sydney and the Illawarra prompting more than 300 requests for assistance to the SES. Terry Hills recorded 61 mm in an hour and Peakhurst recorded 26 mm in just ten minutes. Other suburbs affected included Banksia, Rockdale, Padstow Heights, Sylvania, Five Dock and Rosebery.  Up to 8000 people remained isolated for weeks in the north-west, receiving approximately 50 ton of daily deliveries such as medication, mail and food.  Heavy rains from the end of February to the beginning of March saw more than 75 per cent of New South Wales under water or threatened by floodwaters. Twenty-four hour rainfall totals to 9 am on 1 March reached up to 123 mm in Coolamon, 84 mm in Cootamundra, 83 mm in Broken Hill and widespread falls between 30 - 80 mm in the Illawarra district. Over 1700 people from the four towns of Bega, Eastgrove in Goulburn, Cooma and south-west Cowra were evacuated on 1-2 March.  Sydney's Warragamba Dam spilt at approx 6.53 pm on 2 March for the first time since 1998, causing authorities to cut power to 160 homes. The spillage prompted the evacuation of 1900 people from the Hawkesbury Nepean Valley area.The town of Pooncarie in western New South Wales received approximately 174 mm of rain and Ivanhoe 154 mm for the 48 hours to 9 am on Thursday, breaking two-day rainfall records.  In Towamba approximately 367 people were isolated following the closure of the Princes Highway. The SES responded to more than 740 requests for help as the large, slow-moving trough set in.  Approximately 4600 people across the state were subject to evacuation orders and 2500 people were isolated, mostly on rural properties.  Approximately 9000 people were evacuated from Wagga Wagga and a state of emergency was declared as the town's flood levee was tested by a peak of 10.6 m on 6 March, risking inundation of more than 3000 properties.  Evacuations continued throughout the first week of March with approximately 236 people door knocked in the Lachlan River area, 600 people ordered to evacuate in Griffith, and flood evacuation orders issued for Forbes, Flowerdale, Urana, Barellan, Yenda, North Wagga, Gillenbah and parts of Gumly Gumly. The town of Forbes was cut in three by floodwaters, inundating dozens of businesses and homes in the CBD.More than 400,000 sandbags were distributed across New South Wales to protect communities from floodwaters.  The New South Wales Government declared 63 natural disaster zones during the February/March floods for the Albury, Balranald, Bathurst, Bega Valley, Berrigan, Bland Shire, Blacktown, Blayney, Bogan, Bombala, Boorowa, Broken Hill, Cobar, Cabonne, Carrathool, Central Darling, Conargo, Coolamon, Cooma-Monaro, Cootamundra, Corowa, Cowra, Forbes, Goulburn, Greater Hume, Griffith, Gundagai, Harden, Hawkesbury, The Hills, Hay, Jerilderie, Junee, Lachlan, Leeton, Lithgow, Lockhart, Mid-western, Murray, Murrumbidgee, Narrandera, Narromine, Oberon, Palerang, Parkes, Penrith, Queanbeyan, Shellharbour, Shoalhaven, Snowy River, Temora, Tumbarumba ,Tumut, Mid Western Regional, Unincorporated Area of NSW, Upper Hunter, Upper Lachlan, Urana, Wagga Wagga, Weddin, Wentworth, Wollongong, Yass and Young local government areas.  Approximately 30 towns across the state's north-east were inundated, leaving 1000 properties isolated. Almost 2000 homes were flooded and more than 17,000 people requested emergency assistance.  On 12 March the Insurance Council of Australia stated that insurers had already received claims totalling more than $64 million from flood-affected homeowners in Victoria and New South Wales. Insurers received 8,200 claims across the declared catastrophe zone. On 31 January one person drowned when they attempted to drive through floodwaters 1.6 m deep.  On 4 March one person died and two others were admitted to hospital with hypothermia and severe bruising after their four wheel drive was caught in a swollen causeway near Braidwood in the Southern Tablelands.  On 9 March one person was found dead in floodwaters north of Bourke, and their vehicle partially submerged in a causeway.  To date the Australian Government Disaster Recovery Payments total approximately $17,256,000 allocated to 14,834 claimants  affected in the northern part of the state and $29,991,000 was allocated to pay over 28,860 claimants affected by flood in the southern New South Wales region.     The Insurance Council of Australia estimated the 2012 damage at $108.2 million which incorporated figures for both New South Wales and Victoria.  Further information will be provided when available.",2012,-30.29301643,153.11593630,,,,3,"$108,212,000.00",,,NSW,http://www.emknowledge.gov.au/resource/?id=612,"$120,212,000.00",$0.00
269,Natural,Flood,"Grafton, Kempsey and North Coast New South Wales","The development of a low-pressure system off the New South Wales North Coast caused torrential rain on 2 March, and dissipated into Queensland. Heavy rainfalls intensified over the following days, particularly in the Coffs Harbour and Port Macquarie regions.  River systems in the region were at capacity and tidal systems in correlation with the king tides caused further complexities with rising flood water. The following river systems were affected; Richmond, Clarence, Bellinger, Nambucca, Macleay, Hastings, Manning, Paterson and Hunter. The rising water exceeded levees in Kempsey and the traffic bridge at Kempsey peaked at a height of 6.9 m. Other significant damage included; 94 businesses with an estimated direct cost of $28,000 per business, streets closed to traffic and 100 people evacuated from the Mirriwina Gardens settlement (50 km north-west of Kempsey).  The Clarence River also threatened to exceed levees causing precautionary evacuations of more than 1000 people, including 80 patients from the Grafton Hospital. The Grafton levee bank was able to hold the water within the river system, which finally peaked at 7.75 m.  The effects of the flooding were wide spread and inundations and dislocation of services affected up to 28 local government areas.The Pacific Highway, the main route in many of these regions, was cut for several days. Rail services were also reported as suspended. Furthermore, reports of damage included; Yamba becoming isolated, Gladstone and Smithtown where sewerage infrastructure failed and Ulmarra (population of 470) was ordered to evacuate. Bellingen, Thora, Kaland and Darkwood, South West Rocks, Hat Head, and Crescent Head were isolated and required food and medical drops by helicopter.  The response units included; State Emergency Services (SES) a contingent of 1300 volunteers from 83 units, Rural Fire Service (RFS), New South Wales Fire Brigade (NSWFB), Volunteer Rescue Association (VRA), Police, and Council workers. Additional supporting equipment used in the response included; ten heavy tankers, 12 flood boats, and 11 helicopters.  Estimated costs to roads and bridges was $3 million, water and sewerage infrastructure $500,000.  The enormity of the recovery resulted in the Premier establishing a Government Task Force to coordinate the operation. Brigadier Philip McNamara was appointed the regional coordinator for the recovery, and was based in Coffs Harbour. The Insurance Council of Australia estimated the 2001 damage at $25 million, with the 2011 estimated normalised cost of $45 million.",2001,-29.69111061,152.93328860,3000,250,,,"$25,000,000.00",,,NSW,http://www.emknowledge.gov.au/resource/?id=269,"$350,000,000.00",$0.00
535,Transport,Air,Mt Emerald Jet Aircraft Crash,"On 11 May 1990, a Cessna 500 Astec Eagle aircraft conducting a charter passenger operation, crashed on the eastern slopes of Mt Emerald near Atherton. The impact killed 11 people; the pilot and ten passengers. ",1990,-17.20360947,145.40603640,,,,11,,,,QLD,http://www.emknowledge.gov.au/resource/?id=535,"$44,000,000.00",$0.00
318,Transport,Rail,Horsham Train and Bus Collision,"On 24 February 1951, a bus and train collided at a level crossing near Horsham, Victoria. Eleven passengers on the tourist bus died.",1951,-36.50918961,142.10403440,,,,11,,,,VIC,http://www.emknowledge.gov.au/resource/?id=318,"$44,000,000.00",$0.00
3,Man made,Industrial,Appin Mine Explosion,"On 24 July 1979 an explosion occurred in the underground mine in Appin, a small town situated 35 km north-west of Wollongong. The explosion was caused by a rush of methane gas in the K panel which was a remote area of the mine situated 3 km below the surface.  There were 45 individuals working in the mine at the time of the explosion. A total of 14 people lost their lives; 10 miners were killed in the crib room, while another four were killed in other areas of the mine.",1979,-34.19221115,150.78633120,,,,14,,,,NSW,http://www.emknowledge.gov.au/resource/?id=3,"$56,000,000.00",$0.00
462,Natural,Bushfire,Red Tuesday,"Red Tuesday occurred on 1 February 1898 when in the southern Gippsland area of Victoria 260,000 ha were burnt, 12 people were killed and 2000 buildings were destroyed. The fires affected the Cranbourne, Traralgon, Neerim South and Poowong areas.",1898,-38.19710922,146.53462220,,2500,,12,,,,VIC,http://www.emknowledge.gov.au/resource/?id=462,"$298,000,000.00",$0.00
68,Natural,Bushfire,Southern Victoria and Dandenong Ranges,"Fires in the Dandenong Ranges and on the outskirts of Melbourne caused eight fatalities and destroyed over 450 houses. Areas severely affected include The Basin, Christmas Hills, Kinglake, St Andrews, Hurstbridge, Warrandyte and Mitcham. The bushfires came within 20 km of the city of Melbourne and were considered the worst fires since 1939.",1962,-37.85620117,145.31593320,,2500,,8,,,454,VIC,http://www.emknowledge.gov.au/resource/?id=68,"$282,000,000.00",$0.00
